,time,S,I,R
1253,45.11251125112511,0.9990202479322472,0.0007299477838258145,0.0002498042839270035
1254,45.14851485148515,0.9990150884836226,0.0007337897523130629,0.0002511217640642531
1255,45.184518451845186,0.9990099018943154,0.0007376519241239797,0.0002524461815606501
1256,45.22052205220522,0.9990046880221074,0.0007415344050516532,0.00025377757284087495
1257,45.25652565256526,0.9989994467240719,0.0007454373014161521,0.00025511597451193674
1258,45.29252925292529,0.9989941778565675,0.0007493607200680018,0.00025646142336438287
1259,45.32853285328533,0.9989888812752348,0.0007533047683916706,0.0002578139563735116
1260,45.364536453645364,0.9989835568349903,0.0007572695543090421,0.0002591736107005802
1261,45.400540054005404,0.998978204390023,0.0007612551862829015,0.0002605404236940179
1262,45.43654365436544,0.9989728237937889,0.0007652617733204085,0.0002619144328906337
1263,45.47254725472548,0.9989674148990065,0.0007692894249765837,0.0002632956760168296
1264,45.50855085508551,0.9989619775576524,0.0007733382513577809,0.00026468419098980866
1265,45.54455445544554,0.998956511620956,0.0007774083631251731,0.00026608001591878726
1266,45.58055805580558,0.9989510169393955,0.0007814998714982294,0.000267483189106205
1267,45.616561656165615,0.9989454933626928,0.0007856128882581919,0.0002688937490489343
1268,45.652565256525655,0.998939940739809,0.0007897475257515613,0.0002703117344394929
1269,45.68856885688569,0.9989343589189391,0.0007939038968935691,0.000271737184167252
1270,45.72457245724573,0.9989287477475086,0.0007980821151716649,0.00027317013731964897
1271,45.76057605760576,0.9989231070721676,0.0008022822946489887,0.0002746106331833958
1272,45.7965796579658,0.9989174367387864,0.0008065045499678567,0.00027605871124569166
1273,45.83258325832583,0.9989117365924512,0.000810748996353235,0.0002775144111954312
1274,45.86858685868587,0.9989060064774593,0.0008150157496162253,0.0002789777729244173
1275,45.904590459045906,0.9989002462373139,0.0008193049261575378,0.0002804488365285694
1276,45.94059405940594,0.9988944557147198,0.0008236166429709769,0.00028192764230913574
1277,45.97659765976598,0.9988886347515792,0.0008279510176469179,0.0002834142307739033
1278,46.01260126012601,0.9988827831889858,0.0008323081683757843,0.0002849086426384072
1279,46.04860486048605,0.9988769008672213,0.0008366882139515327,0.00028641091882714324
1280,46.084608460846084,0.9988709876257501,0.0008410912737751267,0.00028792110047477624
1281,46.120612061206124,0.9988650433032146,0.0008455174678580217,0.0002894392289273527
1282,46.15661566156616,0.9988590677374308,0.0008499669168256391,0.00029096534574350903
1283,46.1926192619262,0.9988530607653834,0.0008544397419208517,0.00029249949269568443
1284,46.22862286228623,0.9988470222232212,0.0008589360650074568,0.00029404171177132877
1285,46.26462646264627,0.9988409519462522,0.0008634560085736626,0.0002955920451741159
1286,46.3006300630063,0.9988348497689392,0.0008679996957355607,0.00029715053532515143
1287,46.336633663366335,0.9988287155248952,0.0008725672502406119,0.0002987172248641853
1288,46.372637263726375,0.9988225490468781,0.000877158796471123,0.0003002921566508216
1289,46.40864086408641,0.9988163501667865,0.0008817744594477237,0.0003018753737657281
1290,46.44464446444645,0.9988101187156553,0.0008864143648328525,0.0003034669195118486
1291,46.48064806480648,0.9988038545236502,0.0008910786389342289,0.00030506683741561135
1292,46.51665166516652,0.9987975574200635,0.0008957674087083404,0.0003066751712281418
1293,46.55265526552655,0.9987912272333096,0.0009004808017639144,0.00030829196492647074
1294,46.58865886588659,0.9987848637909198,0.0009052189463654055,0.000309917262714747
1295,46.624662466246626,0.9987784669195381,0.0009099819714364673,0.0003115511090254458
1296,46.66066606660666,0.998772036444916,0.0009147700065634388,0.00031319354852058135
1297,46.6966696669667,0.9987655721919082,0.0009195831819988208,0.0003148446260929162
1298,46.73267326732673,0.9987590739844681,0.0009244216286647529,0.00031650438686717106
1299,46.76867686768677,0.9987525416456422,0.0009292854781564994,0.0003181728762012373
1300,46.804680468046804,0.9987459749975667,0.0009341748627459215,0.00031985013968738497
1301,46.840684068406844,0.9987393738614615,0.0009390899153849646,0.00032153622315347593
1302,46.87668766876688,0.9987327380576266,0.0009440307697091293,0.00032323117266417164
1303,46.91269126912692,0.9987260674027622,0.0009489975620015787,0.0003249350352361052
1304,46.94869486948695,0.9987193617035302,0.0009539904359131034,0.00032664786055660054
1305,46.98469846984699,0.9987126207750713,0.0009590095288880358,0.0003283696960406132
1306,47.02070207020702,0.9987058444327898,0.0009640549781864838,0.00033010058902367
1307,47.056705670567055,0.9986990324911096,0.0009691269217963409,0.0003318405870939208
1308,47.092709270927095,0.9986921847634693,0.0009742254984371058,0.00033358973809347243
1309,47.12871287128713,0.9986853010623165,0.000979350847563701,0.00033534809011972317
1310,47.16471647164717,0.9986783811991029,0.0009845031093703015,0.0003371156915267002
1311,47.2007200720072,0.9986714249842793,0.00098968242479415,0.00033889259092639184
1312,47.23672367236724,0.9986644322272904,0.000994888935519385,0.0003406788371900858
1313,47.27272727272727,0.9986574027365693,0.0010001227839808564,0.00034247447944970135
1314,47.30873087308731,0.9986503363195328,0.0010053841133679544,0.00034427956709912744
1315,47.344734473447346,0.9986432327825759,0.0010106730676284234,0.00034609414979555494
1316,47.38073807380738,0.9986360919310668,0.0010159897914721922,0.00034791827746081443
1317,47.41674167416742,0.998628913569342,0.0010213344303751915,0.00034975200028271026
1318,47.45274527452745,0.9986216975007004,0.0010267071305831734,0.00035159536871635455
1319,47.48874887488749,0.9986144435273988,0.0010321080391155406,0.00035344843348550505
1320,47.524752475247524,0.9986071514506468,0.0010375373037691603,0.0003553112455838974
1321,47.560756075607564,0.9985998210706011,0.0010429950731221933,0.000357183856276583
1322,47.5967596759676,0.9985924521863607,0.001048481496537909,0.0003590663171012617
1323,47.63276327632764,0.9985850445959618,0.0010539967241685153,0.0003609586798696194
1324,47.66876687668767,0.9985775980963723,0.0010595409069589718,0.0003628609966686607
1325,47.70477047704771,0.998570112483487,0.00106511419665082,0.0003647733198620468
1326,47.74077407740774,0.9985625875521225,0.0010707167457859976,0.00036669570209142785
1327,47.776777677767775,0.9985550230960114,0.0010763487077106674,0.00036862819627778067
1328,47.812781278127815,0.9985474189077981,0.0010820102365790359,0.0003705708556227427
1329,47.84878487848785,0.9985397747790328,0.0010877014873571726,0.0003725237336099463
1330,47.88478847884789,0.9985320905001667,0.0010934226158268387,0.00037448688400635644
1331,47.92079207920792,0.9985243658605469,0.0010991737785893006,0.0003764603608636027
1332,47.95679567956796,0.9985166006484114,0.0011049551330691615,0.0003784442185193178
1333,47.99279927992799,0.9985087946508833,0.001110766837518173,0.0003804385115984694
1334,48.02880288028803,0.9985009476539661,0.0011166090510190674,0.00038244329501469865
1335,48.064806480648066,0.9984930594425389,0.0011224819334893696,0.00038445862397165214
1336,48.1008100810081,0.9984851298003503,0.0011283856456852275,0.00038648455396431966
1337,48.13681368136814,0.9984771585100143,0.0011343203492052303,0.00038852114078036844
1338,48.17281728172817,0.9984691453530041,0.0011402862064942274,0.0003905684405014772
1339,48.20882088208821,0.998461090109648,0.0011462833808471575,0.0003926265095046736
1340,48.244824482448244,0.9984529925591233,0.001152312036412863,0.000394695404463667
1341,48.280828082808284,0.9984448524794518,0.0011583723381979188,0.00039677518235018615
1342,48.31683168316832,0.9984366696474941,0.001164464452070447,0.0003988659004353115
1343,48.35283528352836,0.9984284438389451,0.0011705885447639481,0.00040096761629081364
1344,48.38883888388839,0.9984201748283282,0.0011767447838811117,0.00040308038779048505
1345,48.42484248424843,0.9984118623889907,0.0011829333378976497,0.00040520427311147863
1346,48.46084608460846,0.9984035062930982,0.0011891543761661082,0.00040733933073563966
1347,48.496849684968495,0.9983951063116293,0.0011954080689196977,0.00040948561945084377
1348,48.532853285328535,0.9983866622143714,0.0012016945872761113,0.00041164319835233093
1349,48.56885688568857,0.9983781737699144,0.001208014103241344,0.00041381212684403934
1350,48.60486048604861,0.9983696407456464,0.0012143667897135213,0.0004159924646399436
1351,48.64086408640864,0.9983610629077477,0.0012207528204867132,0.00041818427176538645
1352,48.67686768676868,0.9983524400211867,0.0012271723702547651,0.00042038760855841735
1353,48.71287128712871,0.9983437718497387,0.0012336256145954537,0.0004226025356657733
1354,48.74887488748875,0.9983350581596369,0.0012401127271009335,0.00042482911326200166
1355,48.784878487848786,0.998326298715154,0.0012466338828506594,0.0004270674019951804
1356,48.82088208820882,0.9983174932768303,0.0012531892598033581,0.00042931746336614767
1357,48.85688568856886,0.998308641603983,0.0012597790368248515,0.00043157935919191424
1358,48.89288928892889,0.9982997434547012,0.0012664033936917226,0.00043385315160695593
1359,48.92889288928893,0.9982907985858404,0.0012730625110949948,0.00043613890306451084
1360,48.964896489648964,0.9982818067530181,0.001279756570643793,0.00043843667633786966
1361,49.000900090009004,0.9982727677106091,0.0012864857548690236,0.00044074653452167334
1362,49.03690369036904,0.9982636812117396,0.0012932502472270354,0.0004430685410332032
1363,49.07290729072908,0.9982545470082829,0.0013000502321032998,0.0004454027596136787
1364,49.10891089108911,0.9982453648508542,0.0013068858948160713,0.00044774925432954787
1365,49.14491449144915,0.998236134488806,0.0013137574216200692,0.00045010808957378465
1366,49.18091809180918,0.9982268556702225,0.0013206649997101361,0.00045247933006717947
1367,49.216921692169215,0.9982175281419153,0.0013276088172249191,0.0004548630408596361
1368,49.252925292529255,0.9982081516494178,0.0013345890632505356,0.0004572592873314646
1369,49.28892889288929,0.9981987259369809,0.00134160592782424,0.0004596681351946736
1370,49.32493249324933,0.9981892507475675,0.0013486596019381036,0.00046208965049426766
1371,49.36093609360936,0.9981797258228476,0.0013557502775426748,0.00046452389960953747
1372,49.3969396939694,0.9981701509031938,0.0013628781475506595,0.0004669709492553576
1373,49.432943294329434,0.9981605257276758,0.001370043405840582,0.0004694308664834766
1374,49.46894689468947,0.9981508500340556,0.0013772462472604655,0.0004719037186838149
1375,49.504950495049506,0.9981411235587826,0.001384486867631492,0.00047438957358575477
1376,49.54095409540954,0.9981313460369887,0.0013917654637516821,0.0004768884992594377
1377,49.57695769576958,0.9981215172024832,0.001399082233399563,0.00047940056411705716
1378,49.61296129612961,0.9981116367877478,0.0014064373753378322,0.00048192583691415074
1379,49.64896489648965,0.9981017045239319,0.0014138310893170403,0.00048446438675089773
1380,49.684968496849685,0.9980917201408471,0.0014212635760792484,0.0004870162830734091
1381,49.720972097209724,0.9980816833669631,0.001428735037361712,0.0004895815956750255
1382,49.75697569756976,0.9980715939294017,0.001436245675900538,0.0004921603946976071
1383,49.7929792979298,0.9980614515539327,0.001443795695434368,0.0004947527506328317
1384,49.82898289828983,0.9980512559649684,0.001451385300708037,0.0004973587343234846
1385,49.86498649864987,0.9980410068855589,0.0014590146974762554,0.0004999784169647565
1386,49.9009900990099,0.998030704037387,0.0014666840925072686,0.0005026118701055338
1387,49.936993699369935,0.9980203471407636,0.0014743936935865361,0.0005052591656496953
1388,49.972997299729975,0.9980099359146221,0.0014821437095204,0.0005079203758574059
1389,50.00900090009001,0.9979994700765137,0.001489934350139749,0.0005105955733464076
1390,50.04500450045005,0.9979889493426028,0.0014977658263037007,0.0005132848310933183
1391,50.08100810081008,0.9979783734276616,0.001505638349903259,0.0005159882224349207
1392,50.11701170117012,0.9979677420450653,0.0015135521338649983,0.0005187058210694613
1393,50.153015301530154,0.9979570549067872,0.0015215073921547204,0.0005214377010579389
1394,50.18901890189019,0.9979463117233933,0.0015295043397811378,0.0005241839368254044
1395,50.225022502250226,0.9979355122040381,0.001537543192799532,0.0005269446031622492
1396,50.26102610261026,0.9979246560564589,0.0015456241683154352,0.0005297197752255035
1397,50.2970297029703,0.9979137429869714,0.0015537474844882953,0.0005325095285401286
1398,50.33303330333033,0.9979027727004643,0.0015619133605351426,0.000535313939000309
1399,50.36903690369037,0.9978917449003948,0.0015701220167342713,0.0005381330828707506
1400,50.405040504050405,0.997880659288783,0.0015783736744288965,0.0005409670367879701
1401,50.441044104410445,0.9978695155662074,0.0015866685560308386,0.0005438158777615927
1402,50.47704770477048,0.9978583134318,0.00159500688502418,0.000546679683175643
1403,50.51305130513052,0.997847052583241,0.0016033888859689495,0.0005495585307898423
1404,50.54905490549055,0.9978357327092205,0.001611814790011364,0.0005524525007679319
1405,50.58505850585059,0.9978243534707333,0.0016202848485561167,0.0005553616807105334
1406,50.62106210621062,0.9978129145542048,0.0016287992944344406,0.0005582861513606346
1407,50.657065706570656,0.9978014156481178,0.001637358358989336,0.0005612259928927897
1408,50.693069306930695,0.9977898564393733,0.001645962274734684,0.0005641812858919102
1409,50.72907290729073,0.9977782366132851,0.0016546112753598895,0.0005671521113549179
1410,50.76507650765077,0.997766555853573,0.0016633055957345428,0.0005701385506924028
1411,50.8010801080108,0.9977548138423565,0.0016720454719130525,0.0005731406857302714
1412,50.83708370837084,0.9977430102601492,0.0016808311411393088,0.0005761585987114064
1413,50.873087308730874,0.9977311447858512,0.0016896628418513172,0.0005791923722973148
